#group,false,false,true,true,false,false,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string
#default,mean,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,cpu,host
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:49:30Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:49:40Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:49:50Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:50:00Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:50:10Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:50:20Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:50:30Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:50:40Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:50:50Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:51:00Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:51:10Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:51:20Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:51:30Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:51:40Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:51:50Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:52:00Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:52:10Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:52:20Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:52:30Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:52:40Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:52:50Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:53:00Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:53:10Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:53:20Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:53:30Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:53:40Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:53:50Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:54:00Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:54:10Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:54:20Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:54:30Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:54:40Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:54:50Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:55:00Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:55:10Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:55:20Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:55:30Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:55:40Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:55:50Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:56:00Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:56:10Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:56:20Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:56:30Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:56:40Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:56:50Z,0,usage_guest,cpu,cpu-total,MyLord
,,0,2021-06-23T14:29:09.366682067Z,2021-06-23T15:29:09.366682067Z,2021-06-23T14:57:00Z,0,usage_guest,cpu,cpu-total,MyLord
